Date(GMT),Date(Local),Time(sec),Latitude,Longitude,Horizontal Accuracy(m),Altitude(m),Vertical Accuracy(m),Distance(m),Speed(m/s),Average Speed(m/s),Course(deg),True Heading(deg),Magnetic Heading(deg),Heading Accuracy(deg),Glide Ratio
2018-09-13 11:37:25.97,2018-09-13 07:37:25.97,0,42.276339,-71.717103,74.71368736789456,173,10,0,-1,-1,-1,269.3539123535156,283.6517639160156,180,0
2018-09-13 11:37:43.16,2018-09-13 07:37:43.16,0.7270550727844238,42.276154,-71.716591,30,186.2792625427246,24,0,1.840000033378601,-1,171.5625,254.7972106933594,269.0950622558594,180,0
2018-09-13 11:37:45.00,2018-09-13 07:37:45.00,2.560181736946106,42.276264,-71.716667,10,172.8432273864746,4,13.73540890834576,0,-1,-1,254.7972106933594,269.0950622558594,180,0
2018-09-13 11:37:46.00,2018-09-13 07:37:46.00,3.560141086578369,42.276325,-71.716665,10,172.5276145935059,4,20.52473612609318,0,-1,-1,254.7972106933594,269.0950622558594,180,-5.83800447107056
2018-09-13 11:37:47.00,2018-09-13 07:37:47.00,4.560088753700256,42.276398,-71.716692,10,172.9123802185059,4,28.89703680229163,0.2199999988079071,-1,-1,254.7972106933594,269.0950622558594,180,-8.501851818603505
2018-09-13 11:37:50.00,2018-09-13 07:37:50.00,7.559932708740234,42.276458,-71.716712,10,172.9101829528809,4,35.79001378531463,0.239999994635582,-1,-1,254.7972106933594,269.0950622558594,180,-7.953898840937663
2018-09-13 11:38:00.00,2018-09-13 07:38:00.00,17.55949532985687,42.276516,-71.716702,5,179.0288963317871,3,42.38017722885621,1.820000052452087,-1,9.4921875,254.7972106933594,269.0950622558594,180,-25.64557687649009
2018-09-13 11:38:02.00,2018-09-13 07:38:02.00,19.55942106246948,42.276554,-71.716651,5,179.0812644958496,3,48.30333862843099,4.019999980926514,-1,57.65625,254.7972106933594,269.0950622558594,180,2587.546863005251
2018-09-13 11:38:03.00,2018-09-13 07:38:03.00,20.55938601493835,42.276551,-71.716569,5,178.9579124450684,3,55.00630200774002,5.139999866485596,-1,85.4296875,254.7972106933594,269.0950622558594,180,95.42289980241965
2018-09-13 11:38:04.00,2018-09-13 07:38:04.00,21.5593523979187,42.276551,-71.716492,5,178.9105491638184,3,61.38613852227157,6.25,-1,86.8359375,254.7972106933594,269.0950622558594,180,55.58268908291389
2018-09-13 11:38:05.00,2018-09-13 07:38:05.00,22.55931842327118,42.276550,-71.716403,5,178.3223533630371,3,68.72591397430932,6.730000019073486,-1,87.1875,254.7972106933594,269.0950622558594,180,48.0457995156287
2018-09-13 11:38:06.00,2018-09-13 07:38:06.00,23.55928671360016,42.276556,-71.716324,5,177.9079856872559,3,75.27965410722572,6.539999961853027,-1,84.0234375,254.7972106933594,269.0950622558594,180,47.40642375288708
2018-09-13 11:38:07.00,2018-09-13 07:38:07.00,24.55925559997559,42.276562,-71.716258,5,177.5451316833496,3,80.71783054385513,5.869999885559082,-1,74.53125,254.7972106933594,269.0950622558594,180,51.08184423049425
2018-09-13 11:38:09.00,2018-09-13 07:38:09.00,26.55919671058655,42.276620,-71.716178,5,176.8077049255371,3,90.00325845411024,3.940000057220459,-1,42.890625,254.7972106933594,269.0950622558594,180,68.30545180419843
2018-09-13 11:38:11.00,2018-09-13 07:38:11.00,28.55914080142975,42.276677,-71.716074,5,176.0360374450684,3,100.6419812188048,5.960000038146973,-1,57.3046875,254.7972106933594,269.0950622558594,180,152.5494300834623
2018-09-13 11:38:12.00,2018-09-13 07:38:12.00,29.5591139793396,42.276710,-71.715988,5,175.2053489685059,3,108.6424333346487,8.010000228881836,-1,71.71875,254.7972106933594,269.0950622558594,180,502.1144249988495
2018-09-13 11:38:13.00,2018-09-13 07:38:13.00,30.55908715724945,42.276720,-71.715866,5,174.3334617614746,3,118.7284972912216,9.539999961853027,-1,82.265625,254.7972106933594,269.0950622558594,180,-393.9939443573093
2018-09-13 11:38:14.00,2018-09-13 07:38:14.00,31.55906140804291,42.276728,-71.715730,5,173.7184104919434,3,129.9912332869978,11,-1,85.4296875,254.7972106933594,269.0950622558594,180,-149.2051546965742
2018-09-13 11:38:15.00,2018-09-13 07:38:15.00,32.55903649330139,42.276735,-71.715579,5,173.4566307067871,3,142.4017219855843,12.40999984741211,-1,86.484375,254.7972106933594,269.0950622558594,180,-102.0570291333164
2018-09-13 11:38:16.00,2018-09-13 07:38:16.00,33.55901324748993,42.276742,-71.715416,5,173.2248191833496,3,155.8922804165552,13.71000003814697,-1,86.484375,254.7972106933594,269.0950622558594,180,-234.5361063895292
2018-09-13 11:38:17.00,2018-09-13 07:38:17.00,34.55898880958557,42.276748,-71.715237,5,172.6324119567871,3,170.6589510819423,14.81999969482422,-1,86.8359375,254.7972106933594,269.0950622558594,180,-314.5011421275428
2018-09-13 11:38:18.00,2018-09-13 07:38:18.00,35.55896461009979,42.276753,-71.715046,5,172.1374168395996,3,186.3986054769149,16.64999961853027,-1,87.5390625,254.7972106933594,269.0950622558594,180,-286.1205468802056
2018-09-13 11:38:19.00,2018-09-13 07:38:19.00,36.55894148349762,42.276760,-71.714832,5,171.2072410583496,3,204.0512963121496,17.70999908447266,-1,87.5390625,254.7972106933594,269.0950622558594,180,-228.2449248884694
